tech,code,name,role,stage,position,step,hs_rev_canonical,split_weight,codename,nace4,naics6_nace,naics6,naics6_all,naics_n_mapped
Biofuel,283324,Catalyst Input; Nickel Sulfate,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,283324 | Catalyst Input; Nickel Sulfate,2013,325180,325180,325180,1
Biofuel,283650,CO2 Reduction (Liquid); CACO3 Pellets,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,283650 | CO2 Reduction (Liquid); CACO3 Pellets,2013,325180,325180,325180,1
Biofuel,284210,Catalyst HZSM-5 Zeolite,Processed Material,Midstream,Midstream | Processed Material,2,HS17,1,284210 | Catalyst HZSM-5 Zeolite,2013,325180,325180,325180,1
Biofuel,290121,Intermediate Input; Ethylene,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,290121 | Intermediate Input; Ethylene,2014,325199,325110,325110,1
Biofuel,290511,Intermediate Input; Methanol,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,290511 | Intermediate Input; Methanol,2014,325199,325199,325199,1
Biofuel,290514,Intermediate Input; Butanol,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,290514 | Intermediate Input; Butanol,2014,325199,325199,325199,1
Biofuel,291814,Deodorization; Citric Acid,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,291814 | Deodorization; Citric Acid,2014,325199,325199,325199,1
Biofuel,293290,Catalyst Heteropolyacid,Processed Material,Midstream,Midstream | Processed Material,2,HS92,1,293290 | Catalyst Heteropolyacid,NA,NA,NA,NA,NA
Biofuel,380210,CO2 Reduction (Gas); Activated Carbon,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,380210 | CO2 Reduction (Gas); Activated Carbon,2059,325180,325998,325998,1
Biofuel,381511,Ni-Catalyst,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,381511 | Ni-Catalyst,2059,325180,325180,325180,1
Biofuel,381512,Platinum Group Metal Catalyst,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,381512 | Platinum Group Metal Catalyst,2059,325180,325180,325180,1
Biofuel,381519,"Various Catalysts; Ti-Catalyst, Co-Mo Catalyst, Zi-Catalyst",Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,"381519 | Various Catalysts; Ti-Catalyst, Co-Mo Catalyst, Zi-Catalyst",2059,325180,325180,325180,1
Biofuel,381590,Aluminosilicates,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,381590 | Aluminosilicates,2059,325180,325180,325180,1
Biofuel,382600,Biodiesel,Final Product,Final Product,Final Product | Final Product,4,HS17,0.5,382600 | Biodiesel,2059,325180,325199,325199,1
Biofuel,382600,Biodiesel,Final Product,Final Product,Final Product | Final Product,4,HS22,0.5,382600 | Biodiesel,2059,325180,325199,325199,1
Biofuel,440110,Feedstock Input; Forestry Product,Raw Material,Upstream,Upstream | Raw Material,1,HS12,1,440110 | Feedstock Input; Forestry Product,0220,NA,NA,NA,NA
Biofuel,440121,Feedstock Input; Forestry Product,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,440121 | Feedstock Input; Forestry Product,1610,321113,321113,321113,1
Biofuel,440122,Feedstock Input; Forestry Product,Raw Material,Upstream,Upstream | Raw Material,1,HS22,1,440122 | Feedstock Input; Forestry Product,1610,321113,321113,321113,1
Biofuel,440130,Feedstock Input; Wood Waste,Raw Material,Upstream,Upstream | Raw Material,1,HS12,1,440130 | Feedstock Input; Wood Waste,0220,NA,NA,NA,NA
Biofuel,681510,CO2 Reduction (Gas); Carbon Nanotubes,Processed Material,Midstream,Midstream | Processed Material,2,HS17,1,681510 | CO2 Reduction (Gas); Carbon Nanotubes,NA,NA,NA,NA,NA
Biofuel,690220,Catalyst; Al2O3,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,690220 | Catalyst; Al2O3,2320,327120,327120,327120,1
Biofuel,711011,Platinum Powder,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,711011 | Platinum Powder,2441,331410,331410,331410,1
Biofuel,711021,Palladium Powder,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,711021 | Palladium Powder,2441,331410,331410,331410,1
Biofuel,711041,Catalyst Input; Ruthenium,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,711041 | Catalyst Input; Ruthenium,2441,331410,331410,331410,1
Biofuel,810110,Tungsten Powder,Processed Material,Midstream,Midstream | Processed Material,2,HS22,1,810110 | Tungsten Powder,2445,331410,331492,331492,1
Biofuel,840211,High Pressure Steam Boilers,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,1,840211 | High Pressure Steam Boilers,2530,332410,332410,332410,1
Biofuel,840420,Condenser,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,1,840420 | Condenser,2530,332410,332410,332410,1
Biofuel,840490,CO2 Reduction (Gas); Condenser,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,1,840490 | CO2 Reduction (Gas); Condenser,2530,332410,332410,332410,1
Biofuel,840619,Conveyance of Product; Turbines,Process Equipment,Downstream,Downstream | Process Equipment,3,HS92,1,840619 | Conveyance of Product; Turbines,NA,NA,NA,NA,NA
Biofuel,841381,Conveyance of Product; Pumps,Process Equipment,Downstream,Downstream | Process Equipment,3,HS22,1,841381 | Conveyance of Product; Pumps,2813,333912,333914,333914,1
Biofuel,841410,Vacuum Pumps,Process Equipment,Midstream,Midstream | Process Equipment,2,HS22,1,841410 | Vacuum Pumps,2813,333912,333912,333912,1
